Wall time,Step,Value
1675937261.03058,1,395.9258117675781
1675937261.703131,10,353.6728515625
1675937262.867017,20,372.9520263671875
1675937264.470631,30,366.64544677734375
1675937266.257144,40,374.56280517578125
1675937268.434593,50,382.8338928222656
1675937284.121142,60,305.3895568847656
1675937299.585838,70,344.0364685058594
1675937314.755404,80,281.0116271972656
1675937330.616739,90,303.832763671875
1675937346.858343,100,308.55322265625
1675937362.960613,110,255.96890258789062
1675937379.513192,120,237.24755859375
1675937395.994088,130,232.7035675048828
1675937412.565078,140,227.46702575683594
1675937429.362464,150,199.1633758544922
1675937445.827871,160,166.22845458984375
1675937462.158254,170,174.88113403320312
1675937478.654042,180,162.58868408203125
1675937495.256521,190,128.30690002441406
1675937511.591136,200,147.56605529785156
1675937528.529406,210,143.77207946777344
1675937545.043791,220,169.54385375976562
1675937561.658522,230,147.2100372314453
1675937578.7299,240,136.14280700683594
1675937595.909272,250,149.3175506591797
1675937612.513012,260,157.30577087402344
1675937629.213822,270,146.95359802246094
1675937646.091979,280,141.574951171875
1675937662.663446,290,163.43540954589844
1675937680.536368,300,172.2926788330078
1675937697.382811,310,165.78675842285156
1675937714.167731,320,154.6143035888672
1675937730.719218,330,157.98707580566406
1675937747.294816,340,161.21710205078125
1675937763.83637,350,167.9186248779297
1675937780.968145,360,169.33651733398438
1675937797.377639,370,166.42465209960938
1675937814.578105,380,167.78900146484375
1675937832.344158,390,168.70700073242188
1675937851.747909,400,186.78958129882812
1675937869.188855,410,174.06541442871094
1675937887.668098,420,188.06541442871094
1675937905.453624,430,182.58676147460938
1675937923.507651,440,167.4154052734375
1675937941.312946,450,166.0471954345703
1675937958.937445,460,162.19436645507812
1675937976.409549,470,162.13568115234375
1675937993.981805,480,137.26522827148438
1675938013.415626,490,134.11489868164062
1675938030.902137,500,168.9987030029297
1675938048.539448,510,147.91514587402344
1675938066.961021,520,155.1820831298828
1675938085.772002,530,148.70001220703125
1675938104.677011,540,130.69717407226562
1675938122.966385,550,150.44032287597656
1675938141.406091,560,136.3841094970703
1675938159.361953,570,136.0177459716797
1675938177.831985,580,126.6128158569336
1675938196.647276,590,130.4318084716797
1675938214.320933,600,120.2690200805664
1675938232.383741,610,127.07463073730469
1675938251.850081,620,125.468505859375
1675938269.728197,630,117.95288848876953
1675938287.320865,640,109.10491943359375
1675938304.099019,650,111.47801971435547
1675938320.089609,660,108.22740173339844
1675938335.882047,670,108.3733901977539
1675938351.706573,680,112.66104888916016
1675938367.755443,690,111.3752670288086
1675938383.46827,700,114.15816497802734
1675938399.01763,710,107.6443099975586
1675938414.886995,720,111.93685913085938
1675938430.765875,730,117.64498138427734
1675938447.815573,740,116.67236328125
1675938464.603659,750,117.738525390625
1675938481.858073,760,118.31761932373047
1675938497.715138,770,117.7452163696289
1675938513.859268,780,118.73482513427734
1675938529.716975,790,118.56928253173828
1675938545.53227,800,119.35508728027344
1675938561.366228,810,119.05975341796875
1675938577.179064,820,118.94554138183594
1675938593.838758,830,117.15465545654297
1675938610.167671,840,118.98916625976562
1675938626.104817,850,117.72200775146484
1675938642.32067,860,127.53639221191406
1675938657.880851,870,116.99443817138672
1675938673.329069,880,123.67234802246094
1675938689.838265,890,116.78294372558594
1675938706.032204,900,119.47513580322266
1675938722.330028,910,114.11392211914062
1675938740.113457,920,111.97332000732422
1675938756.820747,930,118.5458984375
1675938775.250167,940,120.78407287597656
1675938792.706095,950,115.61885070800781
1675938810.619429,960,113.3226547241211
1675938829.026621,970,113.24552154541016
1675938846.039808,980,120.11248016357422
1675938864.656725,990,114.37368774414062
