CMDLINE /home/ale/.virtualenvs/pin2/bin/python dqn_cartpole.py
MEM 0.687500 1672825434.0455
MEM 23.421875 1672825434.1459
MEM 38.128906 1672825434.2463
MEM 48.257812 1672825434.3466
MEM 59.039062 1672825434.4469
MEM 117.062500 1672825434.5473
MEM 163.273438 1672825434.6476
MEM 225.121094 1672825434.7479
MEM 235.539062 1672825434.8483
MEM 252.125000 1672825434.9486
MEM 264.914062 1672825435.0490
MEM 272.378906 1672825435.1493
MEM 283.968750 1672825435.2496
MEM 301.703125 1672825435.3499
MEM 309.667969 1672825435.4502
MEM 321.019531 1672825435.5506
MEM 327.160156 1672825435.6509
MEM 337.718750 1672825435.7512
MEM 350.312500 1672825435.8515
MEM 356.253906 1672825435.9518
MEM 356.507812 1672825436.0522
MEM 359.679688 1672825436.1525
MEM 363.226562 1672825436.2529
MEM 364.445312 1672825436.3532
MEM 378.144531 1672825436.4535
MEM 390.847656 1672825436.5538
MEM 403.730469 1672825436.6542
MEM 406.386719 1672825436.7545
MEM 407.644531 1672825436.8549
MEM 409.832031 1672825436.9552
MEM 411.996094 1672825437.0556
MEM 413.542969 1672825437.1559
MEM 419.625000 1672825437.2563
MEM 420.703125 1672825437.3567
MEM 420.976562 1672825437.4572
MEM 421.097656 1672825437.5576
MEM 422.210938 1672825437.6580
MEM 422.839844 1672825437.7584
MEM 422.808594 1672825437.8588
MEM 423.808594 1672825437.9591
MEM 424.484375 1672825438.0595
MEM 424.710938 1672825438.1598
MEM 425.257812 1672825438.2603
MEM 426.328125 1672825438.3607
MEM 427.285156 1672825438.4610
MEM 427.792969 1672825438.5614
MEM 427.765625 1672825438.6618
MEM 428.324219 1672825438.7621
MEM 429.281250 1672825438.8625
MEM 430.207031 1672825438.9629
MEM 430.199219 1672825439.0633
MEM 430.359375 1672825439.1637
MEM 431.179688 1672825439.2641
MEM 432.113281 1672825439.3644
MEM 432.187500 1672825439.4649
MEM 432.664062 1672825439.5652
MEM 433.464844 1672825439.6656
MEM 433.863281 1672825439.7661
MEM 434.832031 1672825439.8664
MEM 435.343750 1672825439.9668
MEM 435.390625 1672825440.0671
MEM 435.371094 1672825440.1676
MEM 435.980469 1672825440.2681
MEM 436.367188 1672825440.3686
MEM 437.300781 1672825440.4689
MEM 437.746094 1672825440.5694
MEM 437.796875 1672825440.6698
MEM 438.035156 1672825440.7702
MEM 438.847656 1672825440.8706
MEM 439.539062 1672825440.9709
MEM 440.386719 1672825441.0715
MEM 440.429688 1672825441.1718
MEM 440.414062 1672825441.2722
MEM 440.972656 1672825441.3726
MEM 441.910156 1672825441.4730
